(Log @ 18.38.11): Working directory changed from "" to "C:\Users\Tim Roberts\Documents\1_NevronEngine\bin\"
(Log @ 18.38.11): NevronEngine initializing...
(Multiplication time @ 18.38.42): 92.437699ns
(Multiplication time @ 18.38.42): 87.631397ns
(Multiplication time @ 18.38.42): 89.302398ns
(Multiplication time @ 18.38.42): 88.615902ns
(Multiplication time @ 18.38.43): 92.078701ns
(Multiplication time @ 18.38.43): 88.356599ns
(Multiplication time @ 18.38.43): 88.689201ns
(Multiplication time @ 18.38.43): 86.813293ns
(Multiplication time @ 18.38.43): 90.097800ns
(Multiplication time @ 18.38.43): 89.683294ns
(Multiplication time @ 18.38.44): 88.079102ns
(Multiplication time @ 18.38.44): 90.704493ns
(Multiplication time @ 18.38.44): 90.068094ns
(Multiplication time @ 18.38.44): 89.006200ns
(Multiplication time @ 18.38.44): 88.451296ns
(Multiplication time @ 18.38.44): 89.343198ns
(Framerate @ 18.38.44): 10.790560
(Multiplication time @ 18.38.44): 88.573903ns
(Multiplication time @ 18.38.44): 89.991294ns
(Multiplication time @ 18.38.44): 87.819107ns
(Multiplication time @ 18.38.44): 88.548802ns
(Multiplication time @ 18.38.44): 89.369603ns
(Multiplication time @ 18.38.45): 88.018306ns
(Multiplication time @ 18.38.45): 88.224895ns
(Multiplication time @ 18.38.45): 88.177398ns
(Multiplication time @ 18.38.45): 89.602098ns
(Multiplication time @ 18.38.45): 87.704495ns
(Multiplication time @ 18.38.45): 88.953599ns
(Multiplication time @ 18.38.45): 87.920301ns
(Multiplication time @ 18.38.45): 91.076799ns
(Multiplication time @ 18.38.45): 89.011803ns
(Multiplication time @ 18.38.45): 91.054700ns
(Multiplication time @ 18.38.46): 88.882096ns
(Multiplication time @ 18.38.46): 87.092705ns
(Multiplication time @ 18.38.46): 88.436604ns
(Multiplication time @ 18.38.46): 89.702398ns
(Multiplication time @ 18.38.46): 91.224305ns
(Multiplication time @ 18.38.46): 87.651506ns
(Multiplication time @ 18.38.46): 91.221601ns
(Multiplication time @ 18.38.46): 87.181598ns
(Multiplication time @ 18.38.46): 92.796400ns
(Multiplication time @ 18.38.46): 94.088092ns
(Multiplication time @ 18.38.46): 89.205697ns
